"","spread_line","game_id","season","week","gameday","weekday","gametime","away_team","home_team","home_score","away_score","away_rest","home_rest","div_game","roof","surface","temp","wind","stadium_id","home_roster_id","away_roster_id","home_win","home_win_spread","season_week","elo_predicted_win_perc","elo_home","elo_away","pastYear_home_Offense_yards_gained","past4_home_Offense_yards_gained","pastYear_home_Offense_touchdown","past4_home_Offense_touchdown","pastYear_home_Offense_sack","past4_home_Offense_sack","pastYear_home_Offense_penalty_yards","past4_home_Offense_penalty_yards","pastYear_home_Offense_fumble_lost","past4_home_Offense_fumble_lost","pastYear_home_Offense_interception","past4_home_Offense_interception","pastYear_home_Defense_yards_gained","past4_home_Defense_yards_gained","pastYear_home_Defense_touchdown","past4_home_Defense_touchdown","pastYear_home_Defense_sack","past4_home_Defense_sack","pastYear_home_Defense_penalty_yards","past4_home_Defense_penalty_yards","pastYear_home_Defense_fumble_lost","past4_home_Defense_fumble_lost","pastYear_home_Defense_interception","past4_home_Defense_interception","pastYear_home_top","past4_home_top","pastYear_away_Offense_yards_gained","past4_away_Offense_yards_gained","pastYear_away_Offense_touchdown","past4_away_Offense_touchdown","pastYear_away_Offense_sack","past4_away_Offense_sack","pastYear_away_Offense_penalty_yards","past4_away_Offense_penalty_yards","pastYear_away_Offense_fumble_lost","past4_away_Offense_fumble_lost","pastYear_away_Offense_interception","past4_away_Offense_interception","pastYear_away_Defense_yards_gained","past4_away_Defense_yards_gained","pastYear_away_Defense_touchdown","past4_away_Defense_touchdown","pastYear_away_Defense_sack","past4_away_Defense_sack","pastYear_away_Defense_penalty_yards","past4_away_Defense_penalty_yards","pastYear_away_Defense_fumble_lost","past4_away_Defense_fumble_lost","pastYear_away_Defense_interception","past4_away_Defense_interception","pastYear_away_top","past4_away_top"
"11",5.5,"2021_01_CLE_KC",2021,1,"2021-09-12","Sunday","16:25","CLE","KC",33,29,7,7,0,"outdoors","grass ",88,8,"KAN00","2021_1_KC","2021_1_CLE",TRUE,FALSE,202101,0.463644260399916,1408.04971859057,1418.36403013036,5.33887940841866,5.23329076202639,0.0406712172923777,0.0378884631758195,0.0217576791808874,0.0255427841634738,8.04897159647405,7.58885017421603,0.00661262798634812,0.00468284376330353,0.00782138794084187,0.0131971051511281,4.46004486190944,4.27483181638306,0.0335062386092808,0.0338345864661654,0.0271274358614889,0.0330431341511674,8.72944550669216,9.83333333333333,0.00560773867937754,0.00573802928373566,0.0126174120285995,0.00929956470122675,1848.78947368421,1825.71428571429,5.21353047365254,5.07243558580457,0.044786383563999,0.0466699076324745,0.0206309636379266,0.0218765192027224,8.39561707035755,8.69288389513109,0.00550159030344709,0.00631988332523092,0.00773661136422247,0.00486144871171609,4.60173770106845,4.71114864864865,0.0368674415874134,0.0371621621621622,0.0312316543383821,0.0308277027027027,8.74528301886792,8.13636363636364,0.00692732182693437,0.00168918918918919,0.0102148643888693,0.00844594594594595,1854.11111111111,1829.83333333333
"12",3.5,"2021_01_MIA_NE",2021,1,"2021-09-12","Sunday","16:25","MIA","NE",16,17,7,7,1,"outdoors","fieldturf",81,15,"BOS00","2021_1_NE","2021_1_MIA",FALSE,FALSE,202101,0.492198051152209,1427.93514700733,1446.91816872321,4.95560040363269,4.95803402646503,0.0354095954499587,0.0313799621928166,0.0286212274103293,0.0378071833648393,8.82334869431644,7.98639455782313,0.00559581689753234,0.0056710775047259,0.0103660214659206,0.00869565217391304,4.67149072183255,4.85625,0.0342715084790908,0.0349264705882353,0.0244162301340673,0.0238970588235294,8.57757496740548,8.62264150943396,0.0053271774837965,0.00183823529411765,0.0123412945041286,0.0139705882352941,1751.8125,1463.75,4.52758041596693,4.29045226130653,0.0343624854669939,0.0326633165829146,0.0306161994574344,0.0376884422110553,9.22803738317757,8.28571428571429,0.00568402015243509,0,0.00762175429531068,0.00954773869346734,4.6411114830934,5.1468509984639,0.0351523267492467,0.0374807987711213,0.0314697020421828,0.0325652841781874,8.76704545454546,9.60555555555556,0.00770003347840643,0.00798771121351767,0.0140609306996987,0.0125960061443932,1876.6875,2018.75
"13",-4,"2021_01_GB_NO",2021,1,"2021-09-12","Sunday","16:25","GB","NO",38,3,7,7,0,"outdoors","grass ",86,9,"JAX00","2021_1_NO","2021_1_GB",TRUE,TRUE,202101,0.537603589668005,1459.53601880097,1405.37587926864,4.93925501432665,5.16343402225755,0.0458452722063037,0.0534181240063593,0.0223495702005731,0.0203497615262321,7.95546558704453,6.98469387755102,0.00871060171919771,0.00699523052464229,0.00859598853868195,0.0152623211446741,4.09229903386174,4.25454545454545,0.0332989400619079,0.0386683738796415,0.0306725447894194,0.0202304737516005,9.39644218551461,7.50169491525424,0.00534659037613732,0.00409731113956466,0.0094737829471907,0.00486555697823303,1942.16666666667,1836.33333333333,5.66024518388792,5.58452570217276,0.0589916121301502,0.0601483836777954,0.0206470642455526,0.0291467938526762,9.51543209876543,8.53030303030303,0.00470089409162135,0.00317965023847377,0.00525394045534151,0.0050344462109168,4.30578512396694,4.19793042712461,0.0329752066115702,0.0295024218405989,0.0333057851239669,0.0341259357111405,7.69377990430622,6.91732283464567,0.0056198347107438,0.00572435050638485,0.0112396694214876,0.0134302069572875,1974.11111111111,1966.16666666667
"14",-3,"2021_01_DEN_NYG",2021,1,"2021-09-12","Sunday","16:25","DEN","NYG",13,27,7,7,0,"outdoors","fieldturf",82,19,"NYC01","2021_1_NYG","2021_1_DEN",FALSE,FALSE,202101,0.485539349539158,1423.3058442744,1426.12035400213,4.18461235346271,4.13174839029222,0.0257117525366959,0.016840019811788,0.0390109348832627,0.0554730064388311,7.68888888888889,8.85714285714286,0.00906314648803074,0.0158494304110946,0.0100482711062949,0.00544824170381377,4.58243126736277,4.87391012743125,0.0330491426381837,0.0298457411133467,0.0321869910911007,0.0274983232729712,8.05081967213115,6.68382352941176,0.00680141776032187,0.00268276324614353,0.00910048855254335,0.00368879946344735,1722,1505.5,4.70684905481144,4.93328278999242,0.0292580982236155,0.0367702805155421,0.0294480858744182,0.0295678544351782,8.4953642384106,7.76047904191617,0.0087394319369241,0.00796057619408643,0.0189987650802698,0.00720242608036391,4.68476254405101,5.15777859507172,0.0343178385635174,0.0459727841118058,0.0328075180399396,0.0308937109231335,8.92307692307692,7.475,0.00486658835375063,0.00772342773078338,0.00897801644571237,0.00772342773078338,1738.75,1832.75
"15",9.5,"2021_01_CHI_LA",2021,1,"2021-09-12","Sunday","20:20","CHI","LA",34,14,7,7,0,"dome","matrixturf",NA,NA,"LAX01","2021_1_LA","2021_1_CHI",TRUE,TRUE,202101,0.503978296500599,1436.12139828963,1424.24910208667,4.87618692980823,4.46231003039514,0.0334202196983802,0.0203647416413374,0.0240178737665239,0.0331306990881459,7.43264659270998,6.78995433789954,0.00660956991249302,0.00395136778115502,0.0110780115434742,0.0103343465045593,3.75937272821684,4.31126257708536,0.030117353826981,0.0347289840960727,0.0387371481981514,0.0425186627718273,9.18265682656827,8.31284916201117,0.00695814726347492,0.000973709834469328,0.0112161179769446,0.00811424862057773,1899.33333333333,1856.5,4.49297353220105,5.19833824711873,0.0328476592809725,0.0410077727150898,0.0329338736097939,0.0233181452693648,8.80195258019526,7.82722513089005,0.00525907405810846,0.00348432055749129,0.0141391499267178,0.00911283838113106,4.62691192642207,4.96008316008316,0.0329901029691093,0.0415800415800416,0.0244926522043387,0.0257796257796258,8.64544319600499,7.6123595505618,0.00509847045886234,0.00748440748440748,0.00879736079176247,0.00997920997920998,1808.41176470588,1824.6
"16",-3,"2021_01_BAL_LV",2021,1,"2021-09-13","Monday","20:15","BAL","LV",33,27,7,7,0,"dome","grass",NA,NA,"VEG00","2021_1_LV","2021_1_BAL",TRUE,TRUE,202101,0.468109721705545,1411.16717966034,1450.34562216393,5.06563073062446,5.68849125660838,0.0423704275649069,0.0402602684017893,0.024128945082521,0.0280601870679138,9.4093567251462,9.8062015503876,0.0108097673969694,0.010980073200488,0.00791429398706689,0.0130134200894673,4.94603693728357,4.98672566371681,0.0389572912658715,0.0362027353177796,0.021546748749519,0.0217216411906677,8.55426356589147,7.90322580645161,0.00375144286263948,0.000402252614641995,0.00798383993843786,0.00482703137570394,1864.0625,1838.75,4.96120578915817,5.2280701754386,0.0414490023122377,0.0448916408668731,0.0321144129485313,0.0361197110423117,8.42838541666667,9.12227074235808,0.00599469041705918,0.0043859649122807,0.0105335274471183,0.0121259029927761,4.00833972392638,3.60188298587761,0.0287576687116564,0.0221923335574983,0.029045245398773,0.0248823133826496,9.52211126961484,8.37899543378995,0.00747699386503068,0.00100874243443174,0.0080521472392638,0.00571620712844654,1929.22222222222,2047
"17",4,"2021_02_NYG_WAS",2021,2,"2021-09-16","Thursday","20:20","NYG","WAS",30,29,4,4,1,"outdoors","grass ",71,0,"WAS00","2021_2_WAS","2021_2_NYG",TRUE,FALSE,202102,0.558380847382099,1474.48880249482,1402.52826509696,4.54146788990826,4.59988351776354,0.0303669724770642,0.0264997087944089,0.0368807339449541,0.0331974373907979,9.05848787446505,11.6069651741294,0.00669724770642202,0.0052417006406523,0.013394495412844,0.017472335468841,4.1940771240795,4.22139938712972,0.0308021220999287,0.028855975485189,0.0300894766014728,0.0275791624106231,8.36200716845878,7.8468085106383,0.00760155198352997,0.0112359550561798,0.0102937683110302,0.0109805924412666,1771.82352941176,1682.6,4.25190615835777,4.65887445887446,0.0260019550342131,0.0220779220779221,0.0388074291300098,0.0329004329004329,7.77591036414566,9.0887573964497,0.00987292277614858,0.0116883116883117,0.00801564027370479,0.00476190476190476,4.66335509508941,5.14657133571661,0.0333049484340997,0.0341241468963276,0.0322641687955341,0.0315242118947026,8.48531684698609,8.8159509202454,0.00756930646229539,0.00584985375365616,0.00898855142397578,0.00357491062723432,1709.25,1546.75
"18",-3,"2021_02_NO_CAR",2021,2,"2021-09-19","Sunday","13:00","NO","CAR",26,7,7,7,1,"outdoors","grass ",83,4,"CAR00","2021_2_CAR","2021_2_NO",TRUE,TRUE,202102,0.533530246477162,1457.06997968308,1470.90109765468,4.71062478739086,4.61090458488228,0.0294818006576709,0.0247831474597274,0.0315228483955097,0.0309789343246592,7.88688524590164,7.16666666666667,0.00600975167252523,0.00991325898389095,0.0120195033450505,0.0115654688145394,4.26491499227202,4.1017177500842,0.0324574961360124,0.031997305490064,0.0304997424008243,0.050522061300101,7.86647314949202,8.34463276836158,0.00927357032457496,0.00437857864600876,0.00690365790829469,0.00842034355001684,1870.5,1903.25,4.96429766819145,4.98624813153961,0.0469708802856187,0.0547085201793722,0.0211982595113243,0.00896860986547085,7.27865612648221,6.64319248826291,0.00836773401762803,0.00448430493273543,0.00836773401762803,0.0125560538116592,4.08597590361446,4.03771979580261,0.031421686746988,0.0346001134429949,0.0301686746987952,0.0246738513896767,8.60956175298805,7.77642276422764,0.00520481927710843,0.0022688598979013,0.0102168674698795,0.0107770845150312,1951.66666666667,1885
"19",2,"2021_02_CIN_CHI",2021,2,"2021-09-19","Sunday","13:00","CIN","CHI",20,17,7,7,0,"outdoors","grass ",80,0,"CHI98","2021_2_CHI","2021_2_CIN",TRUE,TRUE,202102,0.516522532845624,1445.22097064069,1427.24144576003,4.4682296975875,4.81972872996301,0.0321100917431193,0.0323057953144266,0.0339789330615019,0.023921085080148,8.77187948350072,8.32530120481928,0.00594631328576283,0.00591861898890259,0.0147808358817533,0.0110974106041924,4.70009051594086,5.28198433420366,0.0356029367394147,0.0488623647892577,0.0247410238358644,0.0190227527042148,8.72704402515723,8.375,0.00512923664889872,0.00372995151063036,0.00814643467766268,0.00895188362551287,1816.58823529412,1892.6,4.38512931034483,4.80656455142232,0.0332974137931034,0.0398249452954048,0.0410560344827586,0.0323851203501094,8.12278106508876,8.86458333333333,0.00980603448275862,0,0.00635775862068965,0.000437636761487965,4.50873805155933,4.50280250576987,0.0333108042869557,0.0362677217276624,0.0212416722989283,0.0204418067919552,8.516,7.91634980988593,0.0064690547455827,0.0112100230794593,0.00965530559042194,0.00758325090669304,1887.8125,1838.25
"20",13.5,"2021_02_HOU_CLE",2021,2,"2021-09-19","Sunday","13:00","HOU","CLE",31,21,7,7,0,"outdoors","grass ",75,12,"CLE00","2021_2_CLE","2021_2_HOU",TRUE,FALSE,202102,0.510479740256547,1441.01889315108,1476.27800414885,5.36066547831254,5.34600262123198,0.0469399881164587,0.0456094364351245,0.0213054918937272,0.0290956749672346,8.26153846153846,8.47826086956522,0.00619641796112384,0.00943643512450852,0.00763941940412529,0.00524246395806029,4.59075907590759,4.78660049627792,0.037441675202003,0.0375753278979085,0.030954819619893,0.0276497695852535,8.41906474820144,7.58282208588957,0.00614544213041994,0.0010634526763559,0.0099009900990099,0.00567174760723148,1844.72222222222,1782.5,5.18094002306805,5.79108635097493,0.0374855824682814,0.0462395543175487,0.0380622837370242,0.0323119777158774,8.35281385281385,7.98305084745763,0.00850634371395617,0.00779944289693593,0.00792964244521338,0.00278551532033426,4.89417322834646,4.76836734693878,0.0388188976377953,0.0353741496598639,0.0251181102362205,0.0153061224489796,8.53218390804598,8.35211267605634,0.00535433070866142,0.00340136054421769,0.00755905511811024,0.0125850340136054,1674.9375,1780
